"E. Stuart","L. Stuart","Stellako","Raft","Quesnel","Chilko","L. Shuswap","Birkenhead","Cultus","Portage","Weaver","Upper Pitt","Harrison"
1,0.156271174922839,0.156271174922839,0.190180006135448,0.156271174922839,0.156271174922839,0.190180006135448,-0.38176846705605,0.190180006135448,0.190180006135448,0.190180006135448,-0.584107545385326,0.193418254241322
0.156271174922839,1,0.75,0.149517975749349,0.75,0.75,0.149517975749349,0.513594582049893,0.149517975749349,0.149517975749349,0.149517975749349,0.233380721601903,0.0203803034184353
0.156271174922839,0.75,1,0.149517975749349,0.75,0.75,0.149517975749349,0.513594582049893,0.149517975749349,0.149517975749349,0.149517975749349,0.233380721601903,0.0203803034184353
0.190180006135448,0.149517975749349,0.149517975749349,1,0.149517975749349,0.149517975749349,0.75,0.419562868262823,0.75,0.75,0.75,-0.108931082896219,0.043438506169016
0.156271174922839,0.75,0.75,0.149517975749349,1,0.75,0.149517975749349,0.513594582049893,0.149517975749349,0.149517975749349,0.149517975749349,0.233380721601903,0.0203803034184353
0.156271174922839,0.75,0.75,0.149517975749349,0.75,1,0.149517975749349,0.513594582049893,0.149517975749349,0.149517975749349,0.149517975749349,0.233380721601903,0.0203803034184353
0.190180006135448,0.149517975749349,0.149517975749349,0.75,0.149517975749349,0.149517975749349,1,0.419562868262823,0.75,0.75,0.75,-0.108931082896219,0.043438506169016
-0.38176846705605,0.513594582049893,0.513594582049893,0.419562868262823,0.513594582049893,0.513594582049893,0.419562868262823,1,0.419562868262823,0.419562868262823,0.419562868262823,0.283627222803631,-0.102495667261324
0.190180006135448,0.149517975749349,0.149517975749349,0.75,0.149517975749349,0.149517975749349,0.75,0.419562868262823,1,0.75,0.75,-0.108931082896219,0.043438506169016
0.190180006135448,0.149517975749349,0.149517975749349,0.75,0.149517975749349,0.149517975749349,0.75,0.419562868262823,0.75,1,0.75,-0.108931082896219,0.043438506169016
0.190180006135448,0.149517975749349,0.149517975749349,0.75,0.149517975749349,0.149517975749349,0.75,0.419562868262823,0.75,0.75,1,-0.108931082896219,0.043438506169016
-0.584107545385326,0.233380721601903,0.233380721601903,-0.108931082896219,0.233380721601903,0.233380721601903,-0.108931082896219,0.283627222803631,-0.108931082896219,-0.108931082896219,-0.108931082896219,1,0.0557271062205946
0.193418254241322,0.0203803034184353,0.0203803034184353,0.043438506169016,0.0203803034184353,0.0203803034184353,0.043438506169016,-0.102495667261324,0.043438506169016,0.043438506169016,0.043438506169016,0.0557271062205946,1
